"title","Price","Mileage.miles.","Registration_Year","Previous.Owners","Fuel.type","Body.type","Engine","Gearbox","Doors","Seats"
"KIA Sportage",10198,50028,2016,NA,"Petrol","SUV","1.6L","Manual",5,5
"Mitsubishi Colt",995,101078,2007,NA,"Petrol","Hatchback","1.5L","Manual",3,5
"Vauxhall Antara",3240,86101,2013,3,"Diesel","SUV","2.2L","Automatic",5,5
"Peugeot 207",999,111400,2007,2,"Diesel","Hatchback","1.6L","Manual",5,5
"Volkswagen Golf",1995,120000,2004,6,"Petrol","Hatchback","2.0L","Manual",3,5
"Renault Megane",6990,43200,2015,2,"Petrol","Convertible","1.2L","Manual",2,4
"Volkswagen Jetta Diesel Saloon",6136,68521,2013,2,"Diesel","Saloon","1.6L","Manual",4,5
"Peugeot 308 SW",9600,56984,2016,4,"Diesel","Estate","1.6L","Manual",5,5
"Mercedes-Benz A Class",17899,55461,2019,2,"Petrol","Hatchback","1.3L","Manual",5,5
"Ford Fiesta",2490,59811,2007,2,"Petrol","Hatchback","1.3L","Manual",3,5
"Alfa Romeo Mito",2495,81710,2010,NA,"Petrol","Hatchback","1.4L","Manual",3,4
"Honda Civic",2995,104068,2010,NA,"Petrol","Hatchback","1.4L","Manual",5,5
"Mazda MAZDA 2",6950,64818,2016,2,"Petrol","Hatchback","1.5L","Manual",5,5
"Honda Accord",2495,104000,2003,4,"Petrol","Saloon","2.0L","Automatic",4,5
"Ford Focus",7250,57000,2014,3,"Petrol","Hatchback","1.6L","Automatic",5,5
"Audi A4",7990,80000,2012,NA,"Petrol","Saloon","1.8L","Manual",4,5
"Ford Focus",2795,82000,2010,3,"Diesel","Hatchback","1.6L","Manual",5,5
"Ford Fiesta",2490,42800,2007,NA,"Petrol","Hatchback","1.2L","Manual",3,5
"Peugeot 407",995,144100,2007,4,"Diesel","Saloon","2.0L","Manual",4,5
"Nissan Leaf",5390,60695,2014,NA,"Electric","Hatchback","","Automatic",5,5
"Rover 45",2495,24000,2004,NA,"Petrol","Saloon","1.8L","Automatic",4,5
"Volvo V50",1595,148642,2012,2,"Diesel","Estate","1.6L","Manual",5,5
"Vauxhall Corsa",10698,22782,2020,NA,"Petrol","Hatchback","1.2L","Manual",5,5
"Vauxhall Corsa",5995,64992,2015,NA,"Petrol","Hatchback","1.4L","Manual",3,5
"MINI Hatch",6995,70752,2010,NA,"Petrol","Hatchback","1.6L","Manual",3,4
"Hyundai Coupe",800,124196,2007,3,"Petrol","Coupe","2.0L","Manual",3,4
"Toyota Aygo",1795,110000,2006,4,"Petrol","Hatchback","1.0L","Manual",5,4
"Ford Fiesta",3990,100000,2012,3,"Petrol","Hatchback","1.3L","Manual",5,5
"BMW 1 Series",10895,74000,2015,NA,"Diesel","Hatchback","2.0L","Manual",5,5
"Volkswagen Jetta",2299,97000,2008,NA,"Diesel","Saloon","2.0L","Manual",4,5
"Toyota Aygo",10700,16420,2019,NA,"Petrol","Hatchback","1.0L","Manual",5,4
"Vauxhall Corsa",2499,75000,2010,2,"Petrol","Hatchback","1.0L","Manual",3,5
"Jaguar XF",3494,146000,2015,NA,"Diesel","Saloon","2.0L","Automatic",4,5
"BMW 3 Series",1389,80000,2000,NA,"Petrol","Saloon","1.9L","Manual",4,5
"Ford Focus",8975,86500,2017,NA,"Diesel","Hatchback","1.5L","Manual",5,5
"Ford Focus",10970,91000,2019,1,"Petrol","Hatchback","1.5L","Manual",5,5
"Mazda Mazda2",2495,59000,2009,2,"Petrol","Hatchback","1.5L","Manual",3,5
"Land Rover Range Rover Evoque",14995,58500,2013,NA,"Petrol","Coupe","2.0L","Automatic",3,4
"Toyota IQ",3495,85489,2009,NA,"Petrol","Hatchback","1.3L","Manual",3,4
"BMW 1 Series",2950,81000,2008,4,"Petrol","Hatchback","1.6L","Manual",5,5
"Fiat 500C",3995,87986,2010,NA,"Petrol","Convertible","1.2L","Manual",2,4
"Ford Fiesta",3985,95601,2015,NA,"Petrol","Hatchback","1.3L","Manual",3,5
"Mazda Mazda6",6800,87898,2013,1,"Diesel","Estate","2.2L","Manual",5,5
"Volkswagen CC",6999,62000,2012,3,"Diesel","Saloon","2.0L","Automatic",4,5
"Ford Fiesta",3130,127910,2015,4,"Diesel","Hatchback","1.5L","Manual",5,5
"Toyota Yaris",13000,51179,2019,1,"Petrol Hybrid","Hatchback","1.5L","Automatic",5,5
"Peugeot RCZ",8990,46284,2014,NA,"Petrol","Coupe","1.6L","Automatic",2,4
"Mazda Mazda3",5495,43000,2011,2,"Diesel","Hatchback","1.6L","Manual",5,5
"Ford Focus",2950,105000,2011,NA,"Petrol","Hatchback","1.6L","Manual",5,5
"Vauxhall Corsa",1270,136000,2008,NA,"Petrol","Hatchback","1.2L","Manual",5,5
"Vauxhall Corsa",2195,88802,2007,NA,"Petrol","Hatchback","1.4L","Manual",3,5
"BMW X5",2275,115000,2002,6,"Diesel","SUV","3.0L","Automatic",5,5
"BMW 1 SERIES",7850,74000,2013,2,"Diesel","Hatchback","2.0L","Manual",5,5
"Ford Fiesta",5480,73623,2014,1,"Petrol","Hatchback","1.0L","Manual",5,5
"Land Rover Freelander 2",4495,148000,2011,4,"Diesel","SUV","2.2L","Manual",5,5
"Renault Captur",5498,50600,2014,2,"Petrol","SUV","0.9L","Manual",5,5
"Volvo V50",2495,85000,2006,4,"Diesel","Estate","2.0L","Manual",5,5
"Suzuki Liana",975,86095,2003,4,"Petrol","Saloon","1.6L","Manual",4,5
"Citroen C3",4700,50000,2013,NA,"Diesel","Hatchback","1.4L","Manual",5,5
"Peugeot 308",2995,105000,2011,3,"Diesel","Hatchback","1.6L","Automatic",5,5
"Volkswagen T-cross",17670,14385,2021,1,"Petrol","SUV","1.0L","Manual",5,5
"Suzuki Vitara",9699,53150,2017,2,"Petrol","SUV","1.6L","Manual",5,5
"KIA Sportage",10198,50028,2016,NA,"Petrol","SUV","1.6L","Manual",5,5
"Mercedes-Benz B Class",5995,78000,2013,NA,"Diesel","MPV","1.8L","Automatic",5,5
"Volvo V40",8795,58000,2015,1,"Petrol","Hatchback","1.6L","Manual",5,5
"KIA RIO",2990,26000,2010,1,"Petrol","Hatchback","1.4L","Manual",5,5
"Volkswagen Passat",4690,104930,2011,3,"Diesel","Saloon","2.0L","Automatic",4,5
"BMW X1",10295,119000,2015,3,"Diesel","SUV","2.0L","Manual",5,5
"KIA Xceed Hatchback",18499,4000,2021,1,"Petrol","SUV","1.0L","Manual",5,5
"Renault Captur",9994,40411,2018,2,"Petrol","SUV","0.9L","Manual",5,5
"Citroen DS4",2700,97385,2013,4,"Petrol","Hatchback","1.6L","Manual",5,5
"Volkswagen Golf",13995,52000,2018,NA,"Petrol","Hatchback","1.4L","Automatic",5,5
"Vauxhall Tigra",999,77000,2005,3,"Petrol","Convertible","1.4L","Manual",2,2
"Hyundai ix35",4280,105000,2012,NA,"Petrol","SUV","1.6L","Manual",5,5
"Renault Megane",2495,106000,2012,3,"Diesel","Coupe","1.5L","Manual",3,5
"Toyota Yaris",2995,81224,2006,NA,"Petrol","Hatchback","1.0L","Manual",3,5
"Audi A1",7950,89484,2012,5,"Petrol","Hatchback","1.4L","Automatic",5,5
"Ford Focus",10970,91000,2019,1,"Petrol","Hatchback","1.5L","Manual",5,5
"Volkswagen Beetle",1790,72370,2006,3,"Petrol","Hatchback","1.4L","Manual",3,4
"Subaru Outback",4995,126000,2011,3,"Petrol","Estate","2.5L","Automatic",5,5
"Toyota RAV4",3495,87738,2006,NA,"Petrol","SUV","2.0L","Manual",5,5
"Ford B-max",4950,61000,2013,2,"Petrol","MPV","1.0L","Manual",5,5
"Alfa Romeo 159",2489,68000,2008,2,"Diesel","Saloon","2.4L","Automatic",4,5
"Fiat 500",5999,45000,2015,2,"Petrol","Hatchback","1.2L","Manual",3,4
"Peugeot 207",2495,104000,2009,NA,"Petrol","Hatchback","1.6L","Automatic",5,5
"Audi A3",2395,148000,2007,6,"Diesel","Hatchback","2.0L","Automatic",5,5
"Vauxhall Insignia",3999,93379,2013,3,"Petrol","Hatchback","1.8L","Manual",5,5
"Chrysler 300C",3495,109000,2006,NA,"Petrol","Saloon","3.5L","Automatic",4,5
"Audi A5 DIESEL COUPE",16555,68603,2017,1,"Diesel","Coupe","2.0L","Automatic",2,4
"Honda Jazz",3995,69920,2007,NA,"Petrol","Hatchback","1.4L","Automatic",5,5
"Vauxhall Astra",2150,72000,2008,3,"Petrol","Hatchback","1.4L","Manual",5,5
"Mercedes-Benz CLS",3995,84000,2005,4,"Petrol","Saloon","5.0L","Automatic",4,4
"Audi A1",3890,137000,2011,3,"Petrol","Hatchback","1.4L","Manual",3,5
"Vauxhall Vectra",1799,69200,2007,4,"Petrol","Hatchback","1.8L","Manual",5,5
"BMW 5 Series",2000,125000,2006,5,"Petrol","Saloon","2.5L","Manual",4,5
"BMW X3",5595,96541,2009,1,"Diesel","SUV","2.0L","Automatic",5,5
"MINI Hatch",11999,33156,2018,1,"Petrol","Hatchback","1.5L","Manual",5,5
"Jaguar XF",6750,113000,2010,3,"Diesel","Saloon","3.0L","Automatic",4,5
"Mazda CX-3",8495,55400,2015,3,"Diesel","SUV","1.5L","Manual",5,5
"Vauxhall Corsa",10698,22782,2020,NA,"Petrol","Hatchback","1.2L","Manual",5,5
"Ford Focus",8975,86500,2017,NA,"Diesel","Hatchback","1.5L","Manual",5,5
"Honda Accord",5000,118000,2009,NA,"Petrol","Saloon","2.4L","Automatic",4,5
"Volkswagen Jetta",6698,61637,2013,NA,"Diesel","Saloon","2.0L","Manual",4,5
"Renault Megane",2495,97000,2012,3,"Diesel","Hatchback","1.5L","Manual",5,5
"MINI Convertible",3995,84617,2010,4,"Petrol","Convertible","1.6L","Manual",2,4
"Volkswagen Polo",3495,127000,2015,NA,"Petrol","Hatchback","1.0L","Manual",3,5
"Mazda 3",2495,100305,2008,NA,"Petrol","Hatchback","1.6L","Manual",5,5
"Volkswagen Scirocco",5950,87000,2008,1,"Petrol","Hatchback","2.0L","Automatic",3,4
"Vauxhall Astra",3950,56800,2015,4,"Diesel","Hatchback","1.7L","Manual",NA,5
"Alfa Romeo 159",2420,86400,2009,5,"Diesel","Saloon","1.9L","Manual",4,5
"SKODA Superb",695,160000,2004,NA,"Diesel","Saloon","1.9L","Automatic",4,5
"Land Rover Range Rover Sport",3999,132000,2007,NA,"Diesel","SUV","2.7L","Automatic",5,5
"Volkswagen T-cross",17670,14385,2021,1,"Petrol","SUV","1.0L","Manual",5,5
"Peugeot 308",9149,55301,2016,NA,"Diesel","Hatchback","1.6L","Manual",5,5
"Fiat 500",2595,48000,2010,4,"Petrol","Hatchback","1.2L","Manual",3,4
"Volkswagen Lupo",1750,86336,2000,3,"Petrol","Hatchback","1.4L","Manual",3,4
"Fiat Punto",2000,110000,2012,NA,"Petrol","Hatchback","1.4L","Manual",3,5
"Mercedes-Benz A Class",15900,62402,2019,1,"Petrol","Hatchback","1.3L","Automatic",5,5
"BMW X5",4450,135000,2004,1,"Diesel","SUV","3.0L","Automatic",5,5
"Audi A4",7990,80000,2012,NA,"Petrol","Saloon","1.8L","Manual",4,5
"Mazda Mazda2",2000,114000,2011,5,"Petrol","Hatchback","1.3L","Manual",5,5
"Volkswagen T-cross",17670,14385,2021,1,"Petrol","SUV","1.0L","Manual",5,5
"Renault Clio",6500,51000,2015,4,"Diesel","Hatchback","1.5L","Manual",5,5
"Mercedes-Benz E Class",7995,61000,2013,2,"Diesel","Coupe","2.1L","Automatic",2,4
"Volkswagen Golf",2495,147000,2011,4,"Petrol","Hatchback","1.2L","Manual",3,5
"Vauxhall Zafira",1295,136250,2006,2,"Diesel","MPV","1.9L","Manual",5,7
"Nissan Pathfinder",3000,135607,2006,5,"Diesel","SUV","2.5L","Automatic",5,7
"Mercedes-Benz S Class",4769,207734,2012,NA,"Diesel","Saloon","3.0L","Automatic",4,5
"Ford Focus",11225,57727,2017,2,"Petrol","Hatchback","1.0L","Automatic",5,5
"Nissan Juke",5990,69000,2013,2,"Petrol","SUV","1.6L","Manual",5,5
"Vauxhall Astra",3689,45000,2009,NA,"Petrol","Hatchback","1.8L","Automatic",5,5
"Toyota Yaris",13000,51179,2019,1,"Petrol Hybrid","Hatchback","1.5L","Automatic",5,5
"Ford C-max",3490,97000,2008,NA,"Diesel","MPV","1.6L","Manual",5,5
"Saab 9-3",2000,138000,2008,6,"Petrol","Saloon","2.0L","Automatic",4,5
"Volkswagen Passat",6995,140735,2015,2,"Diesel","Estate","2.0L","Manual",5,5
"Jaguar XE",7499,91000,2015,2,"Diesel","Saloon","2.0L","Manual",4,5
"MINI Hatch",2695,69000,2005,NA,"Petrol","Hatchback","1.6L","Manual",3,4
"Volkswagen UP",6750,55559,2023,NA,"Petrol","Hatchback","1.0L","Manual",5,4
"Vauxhall Insignia",2950,79000,2011,4,"Petrol","Hatchback","1.8L","Manual",5,5
"KIA Optima",4800,138676,2013,3,"Diesel","Saloon","1.7L","Automatic",4,5
"Toyota Corolla",14599,21650,2019,2,"Petrol","Hatchback","1.2L","Manual",5,5
"Citroen C3 AIRCROSS",9500,49047,2018,2,"Diesel","SUV","1.6L","Manual",5,5
"Vauxhall Astra",4300,71000,2012,3,"Petrol","Estate","1.6L","Manual",5,5
"Peugeot 208",12802,42349,2021,2,"Petrol","Hatchback","1.2L","Manual",5,5
"Ford Kuga",7646,65000,2011,6,"Diesel","SUV","2.0L","Manual",5,5
"Nissan Qashqai",10500,65000,2016,1,"Diesel","SUV","1.5L","Manual",5,5
"Volkswagen Polo",1995,87500,2007,5,"Petrol","Hatchback","1.2L","Manual",3,5
"Volkswagen Polo",6750,54500,2012,2,"Petrol","Hatchback","1.4L","Manual",3,5
"Toyota Yaris",13000,51179,2019,1,"Petrol Hybrid","Hatchback","1.5L","Automatic",5,5
"Vauxhall Corsa",2995,79011,2007,NA,"Petrol","Hatchback","1.4L","Manual",3,5
"Mercedes-Benz C Class",2495,135000,2007,NA,"Diesel","Estate","2.1L","Automatic",5,5
"Fiat 500C",3995,87986,2010,NA,"Petrol","Convertible","1.2L","Manual",2,4
"Ford Kuga",5495,105000,2014,NA,"Diesel","SUV","2.0L","Manual",5,5
"BMW 3 Series",7795,57000,2013,NA,"Petrol","Saloon","1.6L","Manual",4,5
"Fiat 500",4250,73193,2013,NA,"Petrol","Hatchback","1.2L","Manual",3,4
"Toyota Yaris",2350,62324,2003,NA,"Petrol","Hatchback","1.3L","Manual",5,5
"Peugeot 308",1995,98885,2010,NA,"Petrol","Convertible","1.6L","Manual",2,4
"BMW X1",4895,105000,2011,2,"Diesel","SUV","2.0L","Manual",5,5
"Volkswagen Polo",15970,11500,2021,1,"Petrol","Hatchback","1.0L","Manual",5,5
"Mazda CX-5",7495,73000,2012,2,"Diesel","SUV","2.2L","Manual",5,5
"Mercedes-Benz E Class",3889,140000,2011,NA,"Diesel","Saloon","2.1L","Automatic",4,5
"BMW 2 Series",17599,26607,2019,NA,"Petrol","Coupe","1.5L","Automatic",2,4
"Audi A4",7990,80000,2012,NA,"Petrol","Saloon","1.8L","Manual",4,5
"Ford Focus",10970,91000,2019,1,"Petrol","Hatchback","1.5L","Manual",5,5
"Audi A6 Avant",2600,234680,2011,1,"Diesel","Estate","2.0L","Manual",5,5
"Volkswagen Passat",2500,134503,2010,2,"Diesel","Saloon","2.0L","Manual",4,5
"MINI Hatch",1189,125000,2005,NA,"Petrol","Hatchback","1.6L","Manual",3,4
"BMW 2 Series",17599,26607,2019,NA,"Petrol","Coupe","1.5L","Automatic",2,4
"Renault Clio",5990,40000,2012,2,"Petrol","Hatchback","1.6L","Automatic",5,5
"KIA Sorento",1795,125000,2005,4,"Diesel","SUV","2.5L","Manual",5,5
"BMW 5 Series",3950,100200,2007,4,"Petrol","Saloon","2.5L","Automatic",4,5
"BMW 3 Series",3500,42460,2007,2,"Diesel","Coupe","2.0L","Automatic",2,4
"Volkswagen Golf",12495,48690,2017,NA,"Petrol","Hatchback","1.4L","Manual",5,5
"BMW 1 Series",7290,85709,2013,2,"Diesel","Hatchback","2.0L","Manual",5,5
"Volkswagen Polo",1895,87100,2005,5,"Petrol","Hatchback","1.2L","Manual",3,5
"Renault Clio",6495,53000,2014,NA,"Diesel","Hatchback","1.5L","Manual",5,5
"Volkswagen Passat",2449,125000,2009,NA,"Petrol","Saloon","1.4L","Manual",4,5
"Vauxhall Astra",3195,28408,2005,NA,"Petrol","Hatchback","1.6L","Manual",5,5
"Nissan Micra",1395,49015,2006,NA,"Petrol","Hatchback","1.2L","Manual",3,5
"Ford Fiesta",3450,93752,2012,NA,"Petrol","Hatchback","1.3L","Manual",5,5
"Honda Jazz",1750,100500,2009,2,"Petrol","Hatchback","1.4L","Manual",5,5
"SEAT Ibiza",7149,22000,2014,NA,"Petrol","Hatchback","1.4L","Manual",3,5
"Mazda Mazda3",2350,77000,2008,4,"Petrol","Hatchback","1.6L","Manual",5,5
"Renault Clio",3699,64267,2000,4,"Petrol","Hatchback","2.0L","Manual",3,5
"Peugeot 207",2490,30757,2007,NA,"Petrol","Hatchback","1.4L","Manual",5,5
"Ford Fiesta",5000,49000,2012,4,"Petrol","Hatchback","1.3L","Manual",5,5
"Renault Scenic",2490,72000,2010,2,"Petrol","MPV","1.6L","Manual",5,5
"Honda Jazz",2450,93000,2010,4,"Petrol","Hatchback","1.4L","Manual",5,5
"Ford Focus",1789,93000,2010,NA,"Petrol","Hatchback","1.6L","Manual",3,5
"BMW X3",4995,80750,2010,7,"Diesel","SUV","2.0L","Automatic",5,5
"Volkswagen Tiguan",14250,71396,2018,1,"Diesel","SUV","2.0L","Manual",5,5
"Volvo 740",750,225318,1989,NA,"Petrol","Estate","2.3L","Automatic",5,NA
"Vauxhall Astra",3500,78000,2015,2,"Petrol","Hatchback","1.6L","Manual",5,5
"Vauxhall Astra",5000,60000,2015,1,"Petrol","Hatchback","1.4L","Manual",5,5
"Volkswagen Golf",2495,144000,2012,2,"Diesel","Hatchback","1.6L","Manual",5,5
"Volkswagen Passat",11480,44006,2015,3,"Diesel","Saloon","2.0L","Automatic",4,5
"Ford Focus",2950,105000,2011,NA,"Petrol","Hatchback","1.6L","Manual",5,5
"Volkswagen Polo",3495,127000,2015,NA,"Petrol","Hatchback","1.0L","Manual",3,5
"Mercedes-Benz A Class",15900,62402,2019,1,"Petrol","Hatchback","1.3L","Automatic",5,5
"Nissan Juke",7470,58277,2014,2,"Petrol","SUV","1.6L","Manual",5,5
"Jaguar XE",9990,105000,2016,1,"Diesel","Saloon","2.0L","Automatic",4,5
"BMW 1 Series",1995,143222,2011,3,"Diesel","Hatchback","2.0L","Manual",5,5
"Renault Clio",500,115083,2007,7,"Petrol","Hatchback","1.2L","Manual",5,5
"BMW 1 Series",4995,132164,2009,NA,"Petrol","Convertible","3.0L","Automatic",2,4
"Honda Civic",2490,80000,2002,2,"Petrol","Hatchback","1.6L","Automatic",3,5
"Suzuki Grand Vitara",5995,84000,2008,NA,"Petrol","SUV","2.0L","Automatic",5,5
"SKODA Octavia",6995,87000,2010,NA,"Diesel","Estate","2.0L","Manual",5,5
"Vauxhall Corsa",10998,39993,2020,NA,"Petrol","Hatchback","1.2L","Manual",5,5
"Nissan Qashqai",3795,120090,2011,2,"Petrol","SUV","1.6L","Manual",5,5
"Ford Fiesta",2945,80997,2009,NA,"Petrol","Hatchback","1.3L","Manual",3,5
"Honda Cr-v",8995,70000,2013,2,"Petrol","SUV","2.0L","Manual",5,5
"Land Rover Freelander",1000,81783,1999,2,"Diesel","SUV","2.0L","Manual",5,5
"Nissan Sunny",999,60000,1985,NA,"Petrol","Saloon","1.3L","Manual",4,NA
"MINI Hatch",6480,67000,2010,NA,"Petrol","Hatchback","1.6L","Automatic",3,4
"Vauxhall Corsa",1795,99905,2010,5,"Petrol","Hatchback","1.4L","Manual",5,5
"Renault Grand Scenic",4000,73000,2011,2,"Diesel","MPV","1.5L","Automatic",5,7
"Renault Clio",1990,60160,2009,1,"Petrol","Hatchback","1.2L","Manual",3,5
"Citroen C3",6985,65526,2017,1,"Petrol","Hatchback","1.2L","Manual",5,5
"Vauxhall Vectra",2250,52200,2007,NA,"Petrol","Hatchback","1.8L","Manual",5,5
"BMW 1 Series",8145,40000,2013,NA,"Diesel","Hatchback","1.6L","Manual",5,5
"BMW 3 Series",2490,104392,2010,4,"Petrol","Saloon","2.0L","Manual",4,5
"Mazda 3",10200,42449,2017,2,"Diesel","Hatchback","1.5L","Manual",5,5
"Mazda Mazda6",1795,107819,2009,NA,"Petrol","Hatchback","1.8L","Manual",5,5
"BMW 3 SERIES",11995,136225,2017,NA,"Petrol Plug-in Hybrid","Saloon","2.0L","Automatic",4,5
"Ford Focus",8975,86500,2017,NA,"Diesel","Hatchback","1.5L","Manual",5,5
"Ford Focus",2950,105000,2011,NA,"Petrol","Hatchback","1.6L","Manual",5,5
"Toyota Yaris",2995,81224,2006,NA,"Petrol","Hatchback","1.0L","Manual",3,5
"Honda Jazz",1399,171000,2007,1,"Petrol","Hatchback","1.4L","Manual",5,5
"Vauxhall Meriva",6990,34000,2015,2,"Petrol","MPV","1.4L","Automatic",5,5
"Renault Clio",11890,49908,2021,NA,"Petrol","Hatchback","1.0L","Manual",5,5
"Ford Focus",1499,113187,2008,2,"Petrol","Hatchback","1.6L","Manual",5,5
"Suzuki Swift",10707,11589,2020,1,"Petrol Hybrid","Hatchback","1.2L","Manual",5,5
"Peugeot 207",999,111400,2007,2,"Diesel","Hatchback","1.6L","Manual",5,5
"Vauxhall Corsa",10698,22782,2020,NA,"Petrol","Hatchback","1.2L","Manual",5,5
"Peugeot 308",9149,55301,2016,NA,"Diesel","Hatchback","1.6L","Manual",5,5
"Renault Clio",11890,49908,2021,NA,"Petrol","Hatchback","1.0L","Manual",5,5
"Audi TT",6495,96000,2013,NA,"Diesel","Coupe","2.0L","Automatic",3,4
"Ford Focus",10970,91000,2019,1,"Petrol","Hatchback","1.5L","Manual",5,5
"Peugeot 308",1595,114000,2010,3,"Diesel","Hatchback","1.6L","Manual",5,5
"Ford Fiesta",2295,38000,2007,1,"Petrol","Hatchback","1.3L","Manual",3,5
"Vauxhall Corsa",2499,85000,2010,5,"Petrol","Hatchback","1.2L","Manual",3,5
"Peugeot 308",9149,55301,2016,NA,"Diesel","Hatchback","1.6L","Manual",5,5
"Volkswagen Golf Plus",2499,135785,2010,NA,"Diesel","Hatchback","1.6L","Manual",5,5
"Mazda Mazda3",1795,99000,2008,2,"Petrol","Hatchback","1.6L","Manual",5,5
"Volvo S60",2000,108000,2003,NA,"Petrol","Saloon","2.0L","Automatic",4,5
"Renault Clio",2695,79732,2010,NA,"Petrol","Hatchback","1.2L","Manual",3,5
"Citroen C3",10256,31595,2018,2,"Petrol","Hatchback","1.2L","Manual",5,5
"Mercedes-Benz S-class",3795,64000,2002,NA,"Diesel","Saloon","3.2L","Automatic",4,4
"Volkswagen Polo",4990,79000,2013,3,"Diesel","Hatchback","1.6L","Manual",5,5
"Hyundai Santa FE",6995,146000,2014,2,"Diesel","SUV","2.2L","Manual",5,5
"Honda Cr-v",5500,141000,2015,3,"Diesel","SUV","2.2L","Manual",5,5
"Mercedes-Benz C Class",3999,128000,2009,3,"Petrol","Saloon","1.6L","Automatic",4,5
"KIA Optima",11500,58552,2017,2,"Diesel","Estate","1.7L","Manual",5,5
"Peugeot 5008",2350,146000,2010,3,"Diesel","MPV","2.0L","Automatic",5,7
"Renault Clio",11890,49908,2021,NA,"Petrol","Hatchback","1.0L","Manual",5,5
"Vauxhall Corsa",4300,34000,2018,3,"Petrol","Hatchback","1.4L","Manual",3,5
"Renault Clio",11890,49908,2021,NA,"Petrol","Hatchback","1.0L","Manual",5,5
"Land Rover Freelander 2",5290,92148,2010,2,"Diesel","SUV","2.2L","Automatic",5,5
"Honda Accord",950,192567,2007,5,"Diesel","Saloon","2.2L","Manual",4,5
"Peugeot 107",1499,93700,2007,NA,"Petrol","Hatchback","1.0L","Manual",3,4
"Honda Cr-v",1389,120000,1999,NA,"Petrol","SUV","2.0L","Automatic",5,5
"Vauxhall Corsa",13999,13315,2020,1,"Petrol","Hatchback","1.2L","Manual",5,5
"Renault Clio",6495,60394,2016,2,"Petrol","Hatchback","1.2L","Manual",5,5
"Mercedes-Benz C Class",4995,100000,2011,NA,"Petrol","Saloon","1.8L","Automatic",4,5
"Hyundai Tucson",10999,66084,2018,2,"Petrol","SUV","1.6L","Manual",5,5
"Toyota Aygo",1795,110000,2006,4,"Petrol","Hatchback","1.0L","Manual",5,4
"Fiat 500L",5250,79308,2015,1,"Diesel","MPV","","Automatic",NA,NA
"BMW 3 Series",2495,74325,2007,NA,"Petrol","Saloon","2.0L","Manual",4,5
"Vauxhall Corsa",5999,63000,2017,NA,"Petrol","Hatchback","1.4L","Manual",3,5
"BMW 3 Series",19800,69690,2019,1,"Petrol Plug-in Hybrid","Saloon","2.0L","Automatic",4,5
"Nissan Juke",4995,89999,2013,NA,"Diesel","SUV","1.5L","Manual",5,5
"Peugeot 207",1299,87000,2008,5,"Diesel","Hatchback","1.6L","Manual",5,5
"Volkswagen Polo",6995,59513,2014,2,"Petrol","Hatchback","1.4L","Manual",5,5
"Mercedes-Benz C Class",2495,130000,2007,NA,"Petrol","Saloon","1.8L","Automatic",4,5
"SEAT Ibiza",2800,77000,2011,3,"Petrol","Hatchback","1.4L","Manual",5,5
"Fiat Punto",3999,46443,2013,NA,"Petrol","Hatchback","1.2L","Manual",5,5
"Vauxhall Corsa",2240,55000,2014,4,"Petrol","Hatchback","1.2L","Manual",3,5
"Toyota Aygo",10700,16420,2019,NA,"Petrol","Hatchback","1.0L","Manual",5,4
"Peugeot 308",9995,59685,2016,1,"Diesel","Estate","2.0L","Manual",5,5
"Hyundai i20",1850,105472,2009,4,"Petrol","Hatchback","1.2L","Manual",3,5
"Nissan Leaf",5390,60695,2014,NA,"Electric","Hatchback","","Automatic",5,5
"Vauxhall Astra",1595,93610,2001,2,"Petrol","Hatchback","1.6L","Automatic",5,5
"Suzuki SX4",2499,52000,2008,2,"Petrol","SUV","1.6L","Manual",5,5
"Volkswagen Polo",1499,120000,2009,4,"Petrol","Hatchback","1.2L","Manual",5,5
"Peugeot 207",1990,81000,2012,4,"Petrol","Hatchback","1.4L","Manual",5,5
"Mercedes-Benz A-class",12995,49938,2016,2,"Petrol","Hatchback","1.6L","Manual",5,5
"Ford Fiesta",5995,69856,2015,2,"Petrol","Hatchback","1.0L","Manual",3,5
"Toyota Yaris",2995,81224,2006,NA,"Petrol","Hatchback","1.0L","Manual",3,5
"Nissan Qashqai",6000,87018,2014,3,"Diesel","SUV","1.5L","Manual",5,5
"Toyota IQ",3495,85489,2009,NA,"Petrol","Hatchback","1.3L","Manual",3,4
"Vauxhall Insignia",8695,91344,2018,1,"Diesel","Estate","1.6L","Manual",5,5
"Fiat Punto EVO",1989,75000,2010,4,"Petrol","Hatchback","1.4L","Manual",3,5
"Honda Civic",5490,52500,2009,NA,"Petrol","Hatchback","1.8L","Automatic",5,5
"KIA Xceed",15998,22714,2020,NA,"Petrol","SUV","1.0L","Manual",5,5
"Audi A4 Avant",6250,127000,2013,3,"Diesel","Estate","2.0L","Manual",5,5
"Peugeot 107",2150,100000,2010,NA,"Petrol","Hatchback","1.0L","Manual",3,4
"BMW 3 Series",8995,65000,2012,NA,"Diesel","Saloon","2.0L","Automatic",4,5
"Dacia Sandero",6000,20890,2014,1,"Petrol","Hatchback","0.9L","Manual",5,5
"MG MG HS",21495,1048,2023,1,"Petrol","SUV","1.5L","Automatic",5,5
"Peugeot 3008",17990,9669,2019,1,"Diesel","SUV","1.5L","Manual",5,5
"Citroen C1",993,135000,2006,4,"Petrol","Hatchback","1.0L","Manual",5,4
"BMW 3 Series",3495,136000,2011,2,"Diesel","Saloon","2.0L","Manual",4,5
