"title","Price","Mileage.miles.","Registration_Year","Previous.Owners","Fuel.type","Body.type","Engine","Gearbox","Doors","Seats"
"Ford Mondeo",6999,101100,2017,NA,"Diesel","Hatchback","1.5L","Manual",5,5
"Honda Legend",2499,79000,2001,NA,"Petrol","Saloon","3.5L","Automatic",4,5
"Mercedes-Benz A Class",15900,62402,2019,1,"Petrol","Hatchback","1.3L","Automatic",5,5
"Hyundai ix35",6995,90000,2015,NA,"Diesel","SUV","1.7L","Manual",5,5
"Vauxhall Astra",1490,87500,2007,4,"Petrol","Hatchback","1.6L","Manual",5,5
"Vauxhall Astra",2995,61038,2007,NA,"Petrol","Hatchback","1.6L","Manual",3,5
"Vauxhall Astra",1995,88000,2008,3,"Petrol","Hatchback","1.6L","Manual",5,5
"Volkswagen Polo",2995,68000,2008,5,"Petrol","Hatchback","1.2L","Manual",3,5
"Chrysler Ypsilon",2250,100000,2012,4,"Petrol","Hatchback","1.2L","Manual",5,5
"Renault Clio",2499,95000,2012,2,"Petrol","Hatchback","1.2L","Manual",3,5
"Volkswagen Beetle",3575,95000,2005,NA,"Petrol","Convertible","2.0L","Automatic",2,4
"Nissan Qashqai",14990,45774,2020,NA,"Petrol","SUV","1.3L","Automatic",5,5
"Toyota Aygo",4500,85500,2016,3,"Petrol","Hatchback","1.0L","Manual",3,4
"Vauxhall Corsa",3499,56285,2015,1,"Petrol","Hatchback","1.4L","Manual",5,5
"Renault Kangoo",2495,94000,2008,NA,"Petrol","MPV","1.2L","Manual",5,5
"Vauxhall Vectra",2250,52200,2007,NA,"Petrol","Hatchback","1.8L","Manual",5,5
"Vauxhall Corsa",2995,47988,2009,NA,"Petrol","Hatchback","1.2L","Manual",3,5
"Fiat Panda",1895,108000,2011,2,"Petrol","Hatchback","1.2L","Manual",5,4
"Mercedes-Benz CLK",3800,104000,2006,NA,"Petrol","Coupe","1.8L","Automatic",2,4
"KIA Picanto",4490,12500,2012,1,"Petrol","Hatchback","1.0L","Manual",3,5
"Fiat Panda",1700,94000,2009,3,"Petrol","Hatchback","1.2L","Manual",5,4
"Ford Focus",10970,91000,2019,1,"Petrol","Hatchback","1.5L","Manual",5,5
"KIA Ceed",6295,78000,2013,1,"Diesel","Hatchback","1.6L","Automatic",5,5
"BMW 3 Series",2999,77708,2001,7,"Petrol","Coupe","2.2L","Manual",2,5
"Honda Jazz",1895,77627,2007,5,"Petrol","Hatchback","1.4L","Manual",5,5
"Audi A4",2449,57000,2004,NA,"Petrol","Saloon","2.0L","Automatic",4,5
"Nissan Leaf",5390,60695,2014,NA,"Electric","Hatchback","","Automatic",5,5
